Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Double Kettlebell Overhead Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Curtsy Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Curtsy Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Contralateral Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Curtsy Lunge,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Curtsy Lunge,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Curtsy Lunge,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Curtsy Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Curtsy Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Ipsilateral Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Ring Archer Pull Up,Advanced,Gymnastic Rings,Latissimus Dorsi,,Upper Body
Barbell Single Leg Bent Knee Bicep Curl,Advanced,Barbell,Biceps Brachii,Brachialis,Upper Body
Bodyweight Freestanding Handstand ,Advanced,Bodyweight,Anterior Deltoids,Triceps Brachii,Upper Body
Bodyweight Wall Eccentric Straddle Press Handstand,Advanced,Bodyweight,Anterior Deltoids,Triceps Brachii,Upper Body
Kettlebell Horn Grip Carry,Novice,Kettlebell,Rectus Abdominis,,Full Body
Kettlebell Goblet Carry,Novice,Kettlebell,Rectus Abdominis,,Full Body
Dumbbell Goblet Carry,Novice,Dumbbell,Rectus Abdominis,,Full Body
Single Arm Ring Feet Elevated Row,Advanced,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Double Kettlebell Dead Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Single Arm Kettlebell Dead Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Alternating Single Arm Kettlebell Dead Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Alternating Single Arm Kettlebell Start Stop Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Single Arm Kettlebell Start Stop Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Double Kettlebell Start Stop Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Single Arm Kettlebell Start Stop Swing,Novice,Kettlebell,Gluteus Maximus,,Full Body
Alternating Single Arm Kettlebell Start Stop Swing,Novice,Kettlebell,Gluteus Maximus,,Full Body
Double Kettlebell Start Stop Swing,Novice,Kettlebell,Gluteus Maximus,,Full Body
Ring L Sit Pull Up,Advanced,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Suspension Skater Jump,Intermediate,Suspension Trainer,Gluteus Medius,Adductor Magnus,Lower Body
Double Kettlebell Start Stop Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Single Arm Kettlebell Start Stop Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Alternating Single Arm Kettlebell Start Stop Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Clubbell Staggered Stance Rotational Swing,Intermediate,Clubbell,Obliques,Rectus Abdominis,Full Body
Clubbell Staggered Stance Rotational Clean,Intermediate,Clubbell,Obliques,Rectus Abdominis,Full Body
Clubbell Staggered Stance Rotational Clean to Forward Lunge,Advanced,Clubbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Ring Bulgarian Pull Up,Advanced,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Ring Bulgarian L Sit Pull Up,Advanced,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Single Arm Landmine Split Snatch,Advanced,Landmine,Anterior Deltoids,Gluteus Maximus,Full Body
Double Dumbbell Hang Power Clean,Intermediate,Dumbbell,Gluteus Maximus,,Full Body
Single Arm Barbell Bicep Curl,Advanced,Barbell,Biceps Brachii,Brachialis,Upper Body
Ring False Grip Pull Up,Advanced,Gymnastic Rings,Latissimus Dorsi,,Upper Body
Slider Kettlebell Goblet Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Ring Feet Elevated Pike Push Up,Advanced,Gymnastic Rings,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Landmine Split Clean,Advanced,Landmine,Quadriceps Femoris,Gluteus Maximus,Full Body
Double Dumbbell Squat Clean,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Double Dumbbell Hang Squat Clean,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Landmine Split Jerk,Advanced,Landmine,Anterior Deltoids,,Full Body
Single Arm Kettlebell Ipsilateral Forward Lunge Snatch,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Clubbell Hammer Swing,Intermediate,Clubbell,Obliques,Anterior Deltoids,Full Body
Single Arm Clubbell Hammer Swing,Intermediate,Clubbell,Obliques,Anterior Deltoids,Full Body
Double Clubbell Hammer Swing,Intermediate,Clubbell,Obliques,Anterior Deltoids,Full Body
Ring Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Gymnastic Rings,Rectus Abdominis,,Upper Body
Ring Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Barbell Split Clean,Expert,Barbell,Gluteus Maximus,Biceps Femoris,Full Body
Double Dumbbell Hang Split Clean,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Ring Archer Push Up,Advanced,Gymnastic Rings,Pectoralis Major,,Upper Body
Wall Ball Half Kneeling Lateral Toss,Novice,Wall Ball,Obliques,Rectus Abdominis,Core
Wall Ball Isometric Split Squat Lateral Toss,Intermediate,Wall Ball,Obliques,Rectus Abdominis,Core
Superband Assisted Bar Muscle Up,Advanced,Superband,Latissimus Dorsi,Triceps Brachii,Upper Body
Parallette Push Up to L Sit,Advanced,Parallette Bars,Pectoralis Major,Rectus Abdominis,Upper Body
Single Arm Barbell Bent Press,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Sots Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Bottoms Up Sots Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Bottoms Up Sots Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Bottoms Up Seesaw Sots Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Half Kneeling Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Ring Alternating Reach Push Up,Advanced,Gymnastic Rings,Pectoralis Major,Rectus Abdominis,Upper Body
Double Kettlebell Outside Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Single Arm Kettlebell Outside Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Single Arm Kettlebell Outside Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Ring L Sit Dips,Advanced,Gymnastic Rings,Triceps Brachii ,Pectoralis Major,Upper Body
Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Ring Chin Up,Advanced,Gymnastic Rings,Biceps Brachii,Latissimus Dorsi,Upper Body
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,Advanced,Suspension Trainer,Latissimus Dorsi,Biceps Brachii,Upper Body
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,Advanced,Suspension Trainer,Latissimus Dorsi,Biceps Brachii,Upper Body
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Bicep Curl,Advanced,Suspension Trainer,Biceps Brachii,Brachialis,Upper Body
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Bicep Curl,Advanced,Suspension Trainer,Biceps Brachii,Brachialis,Upper Body
Ring L Sit Chin Up,Advanced,Gymnastic Rings,Biceps Brachii,Latissimus Dorsi,Upper Body
Single Ring L Sit Chin Up,Advanced,Gymnastic Rings,Biceps Brachii,Latissimus Dorsi,Upper Body
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Ring Pelican Curl,Advanced,Gymnastic Rings,Biceps Brachii,Pectoralis Major,Upper Body
Ring Two Finger Chin Up,Advanced,Gymnastic Rings,Biceps Brachii,Latissimus Dorsi,Upper Body
Bodyweight Pseudo Planche Push Up,Advanced,Bodyweight,Pectoralis Major,Anterior Deltoids,Upper Body
Parallette Pseudo Planche Push Up,Advanced,Parallette Bars,Pectoralis Major,Anterior Deltoids,Upper Body
Parallette Single Leg Close Grip Push Up,Advanced,Parallette Bars,Triceps Brachii,Pectoralis Major,Upper Body
Single Arm Macebell Single Leg Standing Bent Knee Contralateral 360,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Macebell Inside Circle to 360,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Single Arm Landmine Single Leg Standing Bent Knee Ipsilateral Shoulder Press,Advanced,Landmine,Anterior Deltoids,,Upper Body
Single Arm Landmine Single Leg Standing Bent Knee Contralateral Shoulder Press,Advanced,Landmine,Anterior Deltoids,,Upper Body
Alternating Single Arm Landmine Single Leg Standing Bent Knee Shoulder Press,Advanced,Landmine,Anterior Deltoids,,Upper Body
Macebell Alternating 360 to Pivot Split Squat Uppercut,Advanced,Macebell,Posterior Deltoids,Quadriceps Femoris,Upper Body
Double Clubbell Single Leg Standing Bent Knee Side Shoulder Cast to Side Flag Press,Advanced,Clubbell,Posterior Deltoids,,Upper Body
Macebell Alternating 360 to Front Flag Press,Advanced,Macebell,Posterior Deltoids,Anterior Deltoids ,Upper Body
Double Indian Club Crescent Swing,Advanced,Indian Club,Posterior Deltoids,Obliques,Upper Body
Single Arm Macebell Inside Circle to 360,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Bulgarian Bag Spin,Advanced,Bulgarian Bag,Posterior Deltoids,Obliques,Upper Body
Bulgarian Bag Alternating Spin,Advanced,Bulgarian Bag,Posterior Deltoids,Obliques,Upper Body
Double Kettlebell Feet Elevated Renegade Row,Advanced,Kettlebell,Latissimus Dorsi,,Upper Body
Double Kettlebell Feet Elevated Renegade Row to Push Up,Advanced,Kettlebell,Latissimus Dorsi,,Upper Body
Single Arm Kettlebell Snatch to Overhead Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Barbell Zercher Alternating Reverse Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Alternating Forward Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Walking Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Alternating Lateral Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Barbell Zercher Lateral Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Barbell Zercher Reverse Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Suspension Pelican Curl,Advanced,Suspension Trainer,Biceps Brachii,Pectoralis Major,Upper Body
Bar Archer Pull Up,Advanced,Pull Up Bar,Latissimus Dorsi,,Upper Body
Bar False Grip Pull Up,Advanced,Pull Up Bar,Latissimus Dorsi,,Upper Body
Bar L Sit Chin Up,Advanced,Pull Up Bar,Biceps Brachii,Latissimus Dorsi,Upper Body
Bar L Sit Pull Up,Advanced,Pull Up Bar,Latissimus Dorsi,Biceps Brachii,Upper Body
Bar Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Pull Up Bar,Rectus Abdominis,,Upper Body
Bar Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Pull Up Bar,Rectus Abdominis,,Full Body
Barbell Squat Clean to Push Press,Expert,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Squat Clean to Overhead Press,Expert,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Power Clean to Front Rack Squat,Expert,Barbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Barbell Hang Power Clean to Front Rack Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Barbell Hang Power Clean to Split Jerk,Advanced,Barbell,Anterior Deltoids,Gluteus Maximus,Full Body
Barbell Hang Power Clean to Push Jerk,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Hang Power Clean to Push Press,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Hang Power Clean to Overhead Press,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Hang Squat Clean to Split Jerk,Advanced,Barbell,Anterior Deltoids,Gluteus Maximus,Full Body
Barbell Hang Squat Clean to Push Jerk,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Hang Squat Clean to Push Press,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Barbell Hang Squat Clean to Overhead Press,Advanced,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Double Kettlebell Clean to Front Rack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Double Kettlebell Clean to Push Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Full Body
Double Kettlebell Clean to Front Rack Alternating Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Double Kettlebell Glute Bridge Isometric Bench Press,Novice,Kettlebell,Pectoralis Major,Triceps Brachii,Full Body
Slider Archer Push Up,Advanced,Sliders,Pectoralis Major,,Upper Body
Suspension Archer Push Up,Advanced,Suspension Trainer,Pectoralis Major,,Upper Body
Superband Chaos Push Up,Advanced,Superband,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Pivot Split Squat,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Single Arm Kettlebell Clean to Push Press,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Single Arm Kettlebell Clean to Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Single Arm Kettlebell Clean to Front Rack Contralateral Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Clean to Front Rack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Landmine Pivot Split Squat,Intermediate,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Pivot Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Snatch to Overhead Ipsilateral Reverse Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Outside Snatch to Overhead Contralateral Reverse Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Outside Snatch to Overhead Ipsilateral Reverse Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Alternating Single Arm Kettlebell Outside Swing,Novice,Kettlebell,Gluteus Maximus,,Full Body
Kettlebell Half Kneeling Swing,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Heavy Sandbag Shoulder March,Intermediate,Heavy Sandbag,Iliopsoas,Rectus Abdominis,Core
Heavy Sandbag Bear Hug March,Intermediate,Heavy Sandbag,Iliopsoas,Rectus Abdominis,Core
Heavy Sandbag Bear Hug Roll,Intermediate,Heavy Sandbag,Obliques,,Core
Heavy Sandbag Alternating Hang Shoulder Clean,Intermediate,Heavy Sandbag,Gluteus Maximus,Biceps Femoris,Full Body
Heavy Sandbag Hang Shoulder Clean,Intermediate,Heavy Sandbag,Gluteus Maximus,Biceps Femoris,Full Body
Kettlebell Dead Clean to Horn Grip Alternating Reverse Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Dead Clean,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Kettlebell Dead Clean to Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Clubbell Barbarian Alternating Forward Lunge,Novice,Clubbell,Quadriceps Femoris,Posterior Deltoids,Full Body
Clubbell Barbarian Forward Lunge,Novice,Clubbell,Quadriceps Femoris,Posterior Deltoids,Full Body
Macebell Barbarian Alternating Forward Lunge,Novice,Macebell,Quadriceps Femoris,Posterior Deltoids,Full Body
Macebell Barbarian Forward Lunge,Novice,Macebell,Quadriceps Femoris,Posterior Deltoids,Full Body
Double Dumbbell Overhead Step Up,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Ipsilateral Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Contralateral Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Ipsilateral Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Alternating Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Step Up,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Alternating Step Up,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Step Up,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Alternating Step Up,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Alternating Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Alternating Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Step Up,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Alternating Step Up,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Alternating Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Alternating Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Alternating Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Alternating Step Up,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Suspension Alternating Hawaiian Squat,Intermediate,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Alternating Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Alternating Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Alternating Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Tire Russian Step Up,Novice,Tire,Quadriceps Femoris,Gluteus Maximus,Lower Body
Tire Alternating Russian Step Up,Novice,Tire,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Crush Grip Seated Good Morning,Novice,Dumbbell,Erector Spinae,Gluteus Maximus,Lower Body
Trap Bar Bottoms Up Z Press,Advanced,Trap Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Kettlebell Horn Grip Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Alternating Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Superband Assisted Reverse Nordic,Novice,Superband,Quadriceps Femoris,,Lower Body
Single Arm Clubbell Mill to Reverse Mill,Advanced,Clubbell,Posterior Deltoids,Gluteus Maximus,Upper Body
Single Arm Macebell Mill to Reverse Mill,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Alternating Single Arm Macebell Mill,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Single Arm Dumbbell Hang Power Clean,Intermediate,Dumbbell,Gluteus Maximus,,Full Body
Alternating Single Arm Dumbbell Hang Power Clean,Intermediate,Dumbbell,Gluteus Maximus,,Full Body
Double Dumbbell Suitcase Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Alternating Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Contralateral Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Ipsilateral Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Contralateral Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Ipsilateral Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Contralateral Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Ipsilateral Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Russian Step Up,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Contralateral Russian Step Up,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Russian Step Up,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Russian Step Up,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Russian Step Up,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
